"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"rate_state","mse",72,3072,1000815,2360,8.30930229822795,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00736550882045462,FALSE,"fitted",NA,"rep_0072_fit_mse.rds"
"rate_state","mse",77,3077,1000830,1639,5.78070846398671,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00878408924461881,FALSE,"fitted",NA,"rep_0077_fit_mse.rds"
"rate_state","mse",79,3079,1000836,2171,8.05120248397191,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00763786127633209,FALSE,"fitted",NA,"rep_0079_fit_mse.rds"
"rate_state","mse",83,3083,1000848,2600,10.0966993331909,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00712216504881677,FALSE,"fitted",NA,"rep_0083_fit_mse.rds"
"rate_state","mse",85,3085,1000854,3357,13.6933375318845,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00625846699686122,FALSE,"fitted",NA,"rep_0085_fit_mse.rds"
"rate_state","mse",86,3086,1000857,6190,32.8029970526695,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00456144351074476,FALSE,"fitted",NA,"rep_0086_fit_mse.rds"
"rate_state","mse",91,3091,1000872,2603,9.48107163508733,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0071651988768915,FALSE,"fitted",NA,"rep_0091_fit_mse.rds"
"rate_state","mse",95,3095,1000884,3096,12.2712534467379,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00669646917798421,FALSE,"fitted",NA,"rep_0095_fit_mse.rds"
"rate_state","mse",96,3096,1000887,3054,11.7226830999056,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00643507224404045,FALSE,"fitted",NA,"rep_0096_fit_mse.rds"
"rate_state","mse",100,3100,1000899,3485,14.1177499175072,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00630041198430604,FALSE,"fitted",NA,"rep_0100_fit_mse.rds"
