"truth_kernel","fitted_kernel","rep","tv_wrong","tv_correct","delta_tv"
"ou","rate_state",79,0.127163072274865,0.0209468869627337,0.106216185312131
"ou","rate_state",80,0.126565539582231,0.0196883873715705,0.106877152210661
"ou","rate_state",81,0.126826485899947,0.0014157768244253,0.125410709075522
"ou","rate_state",82,0.126596345210246,0.0192098163259146,0.107386528884331
"ou","rate_state",83,0.126026899296167,0.0236235851973326,0.102403314098834
"ou","rate_state",84,0.127747489562548,0.0175607757523879,0.11018671381016
"ou","rate_state",85,0.126085862229196,0.0235246426016938,0.102561219627502
"ou","rate_state",86,0.126587656279402,0.007971797511896,0.118615858767506
"ou","rate_state",87,0.12700935340772,0.014896328952564,0.112113024455156
"ou","rate_state",88,0.129336858019224,0.0381478676765398,0.091188990342684
"ou","rate_state",89,0.125892772097564,0.00893023595276404,0.1169625361448
"ou","rate_state",90,0.126460796167465,0.0118569210413139,0.114603875126151
"ou","rate_state",91,0.126245972643258,0.02421928544217,0.102026687201088
"ou","rate_state",92,0.126438045215376,0.0115733460891085,0.114864699126268
"ou","rate_state",93,0.126092031828014,0.0184393237667299,0.107652708061285
"ou","rate_state",94,0.126152702817789,0.0102855439653632,0.115867158852426
"ou","rate_state",95,0.129953037491081,0.0433592233173695,0.0865938141737114
"ou","rate_state",96,0.126498733411855,0.0082402377779445,0.11825849563391
"ou","rate_state",97,0.127509288118928,0.0138585038798336,0.113650784239095
"ou","rate_state",98,0.127294664613124,0.00838498401949222,0.118909680593632
"ou","rate_state",99,0.126708665253519,0.0138566552732722,0.112852009980247
"ou","rate_state",100,0.128111945263698,0.016046082530841,0.112065862732857
"rate_state","mse",3,0.055662520579735,0.0189097207317072,0.0367527998480278
"rate_state","mse",4,0.0553309232155323,0.027498569518521,0.0278323536970113
"rate_state","mse",6,0.0519789368708812,0.00648361761382721,0.045495319257054
"rate_state","mse",7,0.048596781851929,0.0262229041859366,0.0223738776659924
"rate_state","mse",8,0.052540059168355,0.0252388691740629,0.0273011899942921
"rate_state","mse",9,0.0585595442773186,0.0220960816024168,0.0364634626749018
"rate_state","mse",10,0.053557539376965,0.0148178572399102,0.0387396821370548
"rate_state","mse",11,0.0560126963706158,0.0318820938526727,0.0241306025179431
"rate_state","mse",13,0.0487100134994959,0.00868156803844172,0.0400284454610542
"rate_state","mse",14,0.0484646896824072,0.0145120959686079,0.0339525937137993
"rate_state","mse",16,0.0545039857015065,0.0111650641445143,0.0433389215569922
"rate_state","mse",17,0.0453783360483319,0.0095852055263558,0.0357931305219761
"rate_state","mse",18,0.0548467113842228,0.0165704097292921,0.0382763016549307
"rate_state","mse",19,0.0545937104159999,0.00728233780485209,0.0473113726111478
"rate_state","mse",21,0.0693543624985767,0.0253665982992917,0.043987764199285
"rate_state","mse",22,0.0524747072689845,0.00788137130816967,0.0445933359608148
"rate_state","mse",23,0.0599196986787704,0.0268081760741601,0.0331115226046103
"rate_state","mse",25,0.0528198819741808,0.0169477108091479,0.0358721711650329
"rate_state","mse",26,0.0502999728296572,0.0219867768942338,0.0283131959354234
"rate_state","mse",27,0.0468792336806392,0.0104944135478047,0.0363848201328345
"rate_state","mse",28,0.0475355051894005,0.00394506590152688,0.0435904392878737
"rate_state","mse",29,0.0464666534398373,0.00797005889776186,0.0384965945420754
"rate_state","mse",30,0.0519505930022168,0.020819676351128,0.0311309166510888
"rate_state","mse",31,0.0569898298441914,0.0165581462967415,0.0404316835474499
"rate_state","mse",33,0.0470582024070339,0.00605510580013364,0.0410030966069002
"rate_state","mse",34,0.0478826049243756,0.0114129919803476,0.036469612944028
"rate_state","mse",35,0.0467408906973475,0.0164159032589633,0.0303249874383842
"rate_state","mse",36,0.0468282855447285,0.00431869432933061,0.0425095912153979
"rate_state","mse",37,0.0533578457283659,0.0280460447702828,0.0253118009580831
"rate_state","mse",38,0.0483161326065558,0.00856303399043743,0.0397530986161184
"rate_state","mse",40,0.0523795632723538,0.012064044416655,0.0403155188556988
"rate_state","mse",41,0.0500299459023255,0.00846354220823343,0.0415664036940921
"rate_state","mse",42,0.0472657921300757,0.00333325727783259,0.0439325348522431
"rate_state","mse",44,0.0495855020282107,0.0101849259686186,0.0394005760595921
"rate_state","mse",45,0.0561617249833065,0.0140120865589594,0.0421496384243471
